a,b,c,d,result
1,137,55,79,4
1,151,55,79,18
1,165,55,79,32
1,170,55,79,37
1,171,55,79,38
1,185,55,79,52
1,186,55,79,53
1,249,55,138,57
1,249,55,157,38
1,249,55,79,116
1,249,55,153,42
1,249,138,79,33
1,249,157,79,14
1,249,79,153,18
1,284,55,138,92
1,284,55,157,73
1,284,55,79,151
1,284,55,153,77
1,284,138,79,68
1,284,157,79,49
1,284,79,153,53
1,304,55,138,112
1,304,55,243,7
1,304,55,157,93
1,304,55,79,171
1,304,55,153,97
1,304,138,157,10
1,304,138,79,88
1,304,138,153,14
1,304,157,79,69
1,304,79,153,73
1,306,55,138,114
1,306,55,243,9
1,306,55,157,95
1,306,55,79,173
1,306,55,153,99
1,306,138,157,12
1,306,138,79,90
1,306,138,153,16
1,306,157,79,71
1,306,79,153,75
1,315,55,138,123
1,315,55,243,18
1,315,55,255,6
1,315,55,157,104
1,315,55,79,182
1,315,55,153,108
1,315,138,157,21
1,315,138,79,99
1,315,138,153,25
1,315,157,79,80
1,315,157,153,6
1,315,79,153,84
1,329,55,138,137
1,329,55,243,32
1,329,55,255,20
1,329,55,157,118
1,329,55,79,196
1,329,55,153,122
1,329,138,157,35
1,329,138,79,113
1,329,138,153,39
1,329,243,79,8
1,329,157,79,94
1,329,157,153,20
1,329,79,153,98
1,330,55,138,138
1,330,55,243,33
1,330,55,255,21
1,330,55,157,119
1,330,55,79,197
1,330,55,153,123
1,330,138,157,36
1,330,138,79,114
1,330,138,153,40
1,330,243,79,9
1,330,157,79,95
1,330,157,153,21
1,330,79,153,99
1,358,55,138,166
1,358,55,243,61
1,358,55,255,49
1,358,55,157,147
1,358,55,79,225
1,358,55,153,151
1,358,138,157,64
1,358,138,79,142
1,358,138,153,68
1,358,243,79,37
1,358,255,79,25
1,358,157,79,123
1,358,157,153,49
1,358,79,153,127
1,359,55,138,167
1,359,55,243,62
1,359,55,304,1
1,359,55,255,50
1,359,55,157,148
1,359,55,79,226
1,359,55,153,152
1,359,138,157,65
1,359,138,79,143
1,359,138,153,69
1,359,243,79,38
1,359,255,79,26
1,359,157,79,124
1,359,157,153,50
1,359,79,153,128
1,365,55,138,173
1,365,55,243,68
1,365,55,304,7
1,365,55,255,56
1,365,55,157,154
1,365,55,79,232
1,365,55,153,158
1,365,138,157,71
1,365,138,79,149
1,365,138,153,75
1,365,243,79,44
1,365,255,79,32
1,365,157,79,130
1,365,157,153,56
1,365,79,153,134
1,243,157,79,8
1,243,79,153,12
1,304,157,79,69
1,304,79,153,73
1,255,157,79,20
1,255,79,153,24
1,351,157,79,116
1,351,157,153,42
1,351,79,153,120
18,125,55,79,9
18,129,55,79,13
18,137,55,79,21
18,151,55,79,35
18,165,55,79,49
18,170,55,79,54
18,171,55,79,55
18,185,55,138,10
18,185,55,79,69
18,186,55,138,11
18,186,55,79,70
18,249,55,138,74
18,249,55,157,55
18,249,55,79,133
18,249,55,153,59
18,249,138,79,50
18,249,157,79,31
18,249,79,153,35
18,284,55,138,109
18,284,55,243,4
18,284,55,157,90
18,284,55,79,168
18,284,55,153,94
18,284,138,157,7
18,284,138,79,85
18,284,138,153,11
18,284,157,79,66
18,284,79,153,70
18,304,55,138,129
18,304,55,243,24
18,304,55,255,12
18,304,55,157,110
18,304,55,79,188
18,304,55,153,114
18,304,138,157,27
18,304,138,79,105
18,304,138,153,31
18,304,157,79,86
18,304,157,153,12
18,304,79,153,90
18,306,55,138,131
18,306,55,243,26
18,306,55,255,14
18,306,55,157,112
18,306,55,79,190
18,306,55,153,116
18,306,138,157,29
18,306,138,79,107
18,306,138,153,33
18,306,243,79,2
18,306,157,79,88
18,306,157,153,14
18,306,79,153,92
18,315,55,138,140
18,315,55,243,35
18,315,55,255,23
18,315,55,157,121
18,315,55,79,199
18,315,55,153,125
18,315,138,157,38
18,315,138,79,116
18,315,138,153,42
18,315,243,79,11
18,315,157,79,97
18,315,157,153,23
18,315,79,153,101
18,329,55,138,154
18,329,55,243,49
18,329,55,255,37
18,329,55,157,135
18,329,55,79,213
18,329,55,153,139
18,329,138,157,52
18,329,138,79,130
18,329,138,153,56
18,329,243,79,25
18,329,255,79,13
18,329,157,79,111
18,329,157,153,37
18,329,79,153,115
18,330,55,138,155
18,330,55,243,50
18,330,55,255,38
18,330,55,157,136
18,330,55,79,214
18,330,55,153,140
18,330,138,157,53
18,330,138,79,131
18,330,138,153,57
18,330,243,79,26
18,330,255,79,14
18,330,157,79,112
18,330,157,153,38
18,330,79,153,116
18,358,55,138,183
18,358,55,243,78
18,358,55,304,17
18,358,55,255,66
18,358,55,157,164
18,358,55,79,242
18,358,55,153,168
18,358,138,157,81
18,358,138,79,159
18,358,138,153,85
18,358,243,79,54
18,358,255,79,42
18,358,157,79,140
18,358,157,153,66
18,358,79,153,144
18,359,55,138,184
18,359,55,243,79
18,359,55,304,18
18,359,55,255,67
18,359,55,157,165
18,359,55,79,243
18,359,55,153,169
18,359,138,157,82
18,359,138,79,160
18,359,138,153,86
18,359,243,79,55
18,359,255,79,43
18,359,157,79,141
18,359,157,153,67
18,359,79,153,145
18,365,55,138,190
18,365,55,243,85
18,365,55,304,24
18,365,55,255,73
18,365,55,157,171
18,365,55,79,249
18,365,55,153,175
18,365,138,243,2
18,365,138,157,88
18,365,138,79,166
18,365,138,153,92
18,365,243,79,61
18,365,255,79,49
18,365,157,79,147
18,365,157,153,73
18,365,79,153,151
18,243,157,79,25
18,243,79,153,29
18,304,157,79,86
18,304,157,153,12
18,304,79,153,90
18,255,157,79,37
18,255,79,153,41
18,351,157,79,133
18,351,157,153,59
18,351,79,153,137
20,125,55,79,11
20,129,55,79,15
20,137,55,79,23
20,151,55,79,37
20,165,55,79,51
20,170,55,79,56
20,171,55,79,57
20,185,55,138,12
20,185,55,79,71
20,186,55,138,13
20,186,55,79,72
20,249,55,138,76
20,249,55,157,57
20,249,55,79,135
20,249,55,153,61
20,249,138,79,52
20,249,157,79,33
20,249,79,153,37
20,284,55,138,111
20,284,55,243,6
20,284,55,157,92
20,284,55,79,170
20,284,55,153,96
20,284,138,157,9
20,284,138,79,87
20,284,138,153,13
20,284,157,79,68
20,284,79,153,72
20,304,55,138,131
20,304,55,243,26
20,304,55,255,14
20,304,55,157,112
20,304,55,79,190
20,304,55,153,116
20,304,138,157,29
20,304,138,79,107
20,304,138,153,33
20,304,243,79,2
20,304,157,79,88
20,304,157,153,14
20,304,79,153,92
20,306,55,138,133
20,306,55,243,28
20,306,55,255,16
20,306,55,157,114
20,306,55,79,192
20,306,55,153,118
20,306,138,157,31
20,306,138,79,109
20,306,138,153,35
20,306,243,79,4
20,306,157,79,90
20,306,157,153,16
20,306,79,153,94
20,315,55,138,142
20,315,55,243,37
20,315,55,255,25
20,315,55,157,123
20,315,55,79,201
20,315,55,153,127
20,315,138,157,40
20,315,138,79,118
20,315,138,153,44
20,315,243,79,13
20,315,255,79,1
20,315,157,79,99
20,315,157,153,25
20,315,79,153,103
20,329,55,138,156
20,329,55,243,51
20,329,55,255,39
20,329,55,157,137
20,329,55,79,215
20,329,55,153,141
20,329,138,157,54
20,329,138,79,132
20,329,138,153,58
20,329,243,79,27
20,329,255,79,15
20,329,157,79,113
20,329,157,153,39
20,329,79,153,117
20,330,55,138,157
20,330,55,243,52
20,330,55,255,40
20,330,55,157,138
20,330,55,79,216
20,330,55,153,142
20,330,138,157,55
20,330,138,79,133
20,330,138,153,59
20,330,243,79,28
20,330,255,79,16
20,330,157,79,114
20,330,157,153,40
20,330,79,153,118
20,358,55,138,185
20,358,55,243,80
20,358,55,304,19
20,358,55,255,68
20,358,55,157,166
20,358,55,79,244
20,358,55,153,170
20,358,138,157,83
20,358,138,79,161
20,358,138,153,87
20,358,243,79,56
20,358,255,79,44
20,358,157,79,142
20,358,157,153,68
20,358,79,153,146
20,359,55,138,186
20,359,55,243,81
20,359,55,304,20
20,359,55,255,69
20,359,55,157,167
20,359,55,79,245
20,359,55,153,171
20,359,138,157,84
20,359,138,79,162
20,359,138,153,88
20,359,243,79,57
20,359,255,79,45
20,359,157,79,143
20,359,157,153,69
20,359,79,153,147
20,365,55,138,192
20,365,55,243,87
20,365,55,304,26
20,365,55,255,75
20,365,55,157,173
20,365,55,79,251
20,365,55,153,177
20,365,138,243,4
20,365,138,157,90
20,365,138,79,168
20,365,138,153,94
20,365,243,79,63
20,365,304,79,2
20,365,255,79,51
20,365,157,79,149
20,365,157,153,75
20,365,79,153,153
20,243,157,79,27
20,243,79,153,31
